trip_id,rated_user_id,rated_role,score
efd25c25-454d-46ca-9e9a-3833619795d6,0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,driver,5
efd25c25-454d-46ca-9e9a-3833619795d6,a7645519-9b3e-476f-8d8a-8a010697b4eb,shipper,5
c639fbff-9171-4716-895b-f75c9629f2a1,7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,driver,5
c639fbff-9171-4716-895b-f75c9629f2a1,76f544ba-8998-4824-b4d5-56daa98c200a,shipper,5
c639fbff-9171-4716-895b-f75c9629f2a1,69b345b3-ec55-408a-978c-9b0062c84f4a,driver,5
c639fbff-9171-4716-895b-f75c9629f2a1,76f544ba-8998-4824-b4d5-56daa98c200a,shipper,5
c639fbff-9171-4716-895b-f75c9629f2a1,7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,driver,5
c639fbff-9171-4716-895b-f75c9629f2a1,76f544ba-8998-4824-b4d5-56daa98c200a,shipper,4
8001df3a-08b6-4fa5-9823-43a4b730ad42,18302a3a-1801-411a-8579-869b4ba4edff,driver,5
8001df3a-08b6-4fa5-9823-43a4b730ad42,ea7b654c-22fa-4491-ab89-99c8a8867ddd,shipper,5
45020081-e260-4c9e-9c5f-a5ae2c119b0b,6d65ee0b-0d87-4816-9b43-1e74af2b76bd,driver,4
45020081-e260-4c9e-9c5f-a5ae2c119b0b,0dc0c367-01cf-40ab-b90a-05ea11e33f4a,shipper,5
3119c52e-a0a1-4794-b01f-99dd5b3ddbed,66e7f631-029c-4810-92a9-8026854edd3f,driver,5
3119c52e-a0a1-4794-b01f-99dd5b3ddbed,b492e2f5-6a42-4f99-be10-1e4f3b586961,shipper,5
3119c52e-a0a1-4794-b01f-99dd5b3ddbed,69b345b3-ec55-408a-978c-9b0062c84f4a,driver,5
3119c52e-a0a1-4794-b01f-99dd5b3ddbed,b492e2f5-6a42-4f99-be10-1e4f3b586961,shipper,4
3ef2bd11-186b-4af5-9f61-40fe93be1782,bda819c9-5bc1-45c0-b673-47f1f8fc1da8,driver,5
3ef2bd11-186b-4af5-9f61-40fe93be1782,2b486a78-d8e7-4e32-8e0d-83d29071cef6,shipper,4
b02f4683-a8aa-46d0-b13d-12d0981a4cf2,26501679-586c-4236-a890-97e1687dc818,driver,5
b02f4683-a8aa-46d0-b13d-12d0981a4cf2,acf70833-a3ac-4efb-bf9f-004b099d3b76,shipper,5
676b4666-d6da-456a-9b7d-60b8eda8d5a7,9db88e80-6a44-4430-b307-494694355bcb,driver,4
676b4666-d6da-456a-9b7d-60b8eda8d5a7,c115ef9a-c3d3-4ecc-8811-204f2f9cc20b,shipper,3
676b4666-d6da-456a-9b7d-60b8eda8d5a7,3fc247b8-f090-4cea-81a6-9112ffe9f796,driver,5
676b4666-d6da-456a-9b7d-60b8eda8d5a7,c115ef9a-c3d3-4ecc-8811-204f2f9cc20b,shipper,5
61236dd4-e2f1-45de-9846-9a98eab2aecc,3fc247b8-f090-4cea-81a6-9112ffe9f796,driver,5
61236dd4-e2f1-45de-9846-9a98eab2aecc,51efcc79-33f3-4355-a328-afb72c842614,shipper,5
1b761564-ee92-489f-8f61-9ba7655bb5e9,463a85e7-e033-4bec-a267-bfa7aa85640d,driver,5
1b761564-ee92-489f-8f61-9ba7655bb5e9,ec1e4398-36b8-450f-b963-19359949e34c,shipper,4
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,310f7ff6-c724-4278-b409-74d1ab8bf019,driver,3
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,bfdb26b1-0506-4a6c-9fb9-f9174984b376,shipper,5
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,083714ac-54b3-4d64-bc00-704dc355b5f8,driver,5
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,bfdb26b1-0506-4a6c-9fb9-f9174984b376,shipper,4
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,b41f802e-0393-409e-935b-003cfa28c0bd,driver,5
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,bfdb26b1-0506-4a6c-9fb9-f9174984b376,shipper,5
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,8462dc55-59d5-47f4-8209-5f47c6bf99ca,driver,5
2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,bfdb26b1-0506-4a6c-9fb9-f9174984b376,shipper,5
f10ce9bb-1830-4cee-bc2b-ac97e3c9154e,083714ac-54b3-4d64-bc00-704dc355b5f8,driver,4
f10ce9bb-1830-4cee-bc2b-ac97e3c9154e,76f544ba-8998-4824-b4d5-56daa98c200a,shipper,5
f10ce9bb-1830-4cee-bc2b-ac97e3c9154e,894888f1-c248-403f-aca9-cddaac265db4,driver,5
f10ce9bb-1830-4cee-bc2b-ac97e3c9154e,76f544ba-8998-4824-b4d5-56daa98c200a,shipper,3
a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,ade5ec49-869b-47d3-b852-1a9ceedbe841,driver,5
a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,3a383b31-c880-407c-a179-71f2a88107fc,shipper,4
a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,d265c88a-1052-4bc1-b426-bc9a3e77f666,driver,5
a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,3a383b31-c880-407c-a179-71f2a88107fc,shipper,5
a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,a2de8edd-b399-484f-8151-3a5ef1d893b0,driver,4
a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,3a383b31-c880-407c-a179-71f2a88107fc,shipper,5
2754b607-62ff-4ff3-9104-dbfe505cd22b,c787e085-877f-4d78-a2c0-2d7e54816f5c,driver,5
2754b607-62ff-4ff3-9104-dbfe505cd22b,04582f7f-ed21-4cdd-bcd8-78f4cf0352e5,shipper,5
2754b607-62ff-4ff3-9104-dbfe505cd22b,eef8d72c-0ab6-40fa-a165-615edc5821f1,driver,5
2754b607-62ff-4ff3-9104-dbfe505cd22b,04582f7f-ed21-4cdd-bcd8-78f4cf0352e5,shipper,3
2754b607-62ff-4ff3-9104-dbfe505cd22b,5a546a9f-4ddf-4c19-9b83-d659726fc137,driver,3
2754b607-62ff-4ff3-9104-dbfe505cd22b,04582f7f-ed21-4cdd-bcd8-78f4cf0352e5,shipper,5
2754b607-62ff-4ff3-9104-dbfe505cd22b,af78bf6c-b541-45e3-93dd-9a69ae91a9ae,driver,5
2754b607-62ff-4ff3-9104-dbfe505cd22b,04582f7f-ed21-4cdd-bcd8-78f4cf0352e5,shipper,4
a6b23575-52eb-4a6f-bafb-25a1798c1e8e,1f148489-0bcb-4470-8354-42eed5c4f971,driver,5
a6b23575-52eb-4a6f-bafb-25a1798c1e8e,6c310b34-f78a-40ad-b220-742a88107c5c,shipper,5
a6b23575-52eb-4a6f-bafb-25a1798c1e8e,0b6812d6-5270-4d50-bba5-1cd2f77ebe2e,driver,5
a6b23575-52eb-4a6f-bafb-25a1798c1e8e,6c310b34-f78a-40ad-b220-742a88107c5c,shipper,2
