id,trip_id,sequence_no,driver_id,hub_from_id,hub_to_id,distance_km,estimated_minutes,avg_speed_kmph,status,started_at,ended_at
4fcf0c4c-39db-4232-8b38-bf84dd038ee6,efd25c25-454d-46ca-9e9a-3833619795d6,0,0f7a5a1e-c1b1-4db5-b7bc-22c0b78c5171,,,244.4,344.9,43.8,completed,2026-09-05T02:51:20.263207,2026-09-05T08:36:11.739918
7a19578d-9805-4ade-af2b-c0325be033f0,c639fbff-9171-4716-895b-f75c9629f2a1,0,7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,,2ddf4880-95a6-4875-857d-f1d095b7fc48,540.9,875.2,33.3,completed,2026-09-04T01:51:20.265064,2026-09-04T16:26:32.495361
620622b9-a6e9-478f-9d23-2cc79ffd8fd7,c639fbff-9171-4716-895b-f75c9629f2a1,1,69b345b3-ec55-408a-978c-9b0062c84f4a,2ddf4880-95a6-4875-857d-f1d095b7fc48,faa81e93-f79d-4d3d-9240-87cdf9df3633,376.4,545.9,42.2,completed,2026-09-04T16:26:32.495361,2026-09-05T01:32:26.099209
3d46e329-e7b0-4fdf-8206-da4cbf29cd19,c639fbff-9171-4716-895b-f75c9629f2a1,2,7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,faa81e93-f79d-4d3d-9240-87cdf9df3633,,422.9,672.3,39.5,completed,2026-09-05T01:32:26.099209,2026-09-05T12:44:45.752446
5d8a09a2-6207-4028-ab94-62e876b3d19c,8001df3a-08b6-4fa5-9823-43a4b730ad42,0,18302a3a-1801-411a-8579-869b4ba4edff,,,120.2,203.0,40.6,completed,2026-09-08T08:51:20.269808,2026-09-08T12:14:23.043476
b7dd98b3-39b5-455f-bc61-a89881b0b4c7,45020081-e260-4c9e-9c5f-a5ae2c119b0b,0,6d65ee0b-0d87-4816-9b43-1e74af2b76bd,,,178.1,201.9,46.2,completed,2026-09-07T03:51:20.271142,2026-09-07T07:13:17.105294
66716ac8-e7c3-4613-9450-d29a5ddfb40e,3119c52e-a0a1-4794-b01f-99dd5b3ddbed,0,66e7f631-029c-4810-92a9-8026854edd3f,,faa81e93-f79d-4d3d-9240-87cdf9df3633,376.4,662.8,38.5,completed,2026-09-05T14:51:20.272549,2026-09-06T01:54:06.821746
ea766361-4323-4cc1-9bfb-d159207b1c2d,3119c52e-a0a1-4794-b01f-99dd5b3ddbed,1,69b345b3-ec55-408a-978c-9b0062c84f4a,faa81e93-f79d-4d3d-9240-87cdf9df3633,,422.9,627.1,42.4,completed,2026-09-06T01:54:06.821746,2026-09-06T12:21:13.348328
6b864dc7-fc2f-4825-899a-b63226018676,3ef2bd11-186b-4af5-9f61-40fe93be1782,0,bda819c9-5bc1-45c0-b673-47f1f8fc1da8,,,505.8,712.2,40.6,completed,2026-09-08T09:51:20.275477,2026-09-08T21:43:32.810960
7a13cdfb-3239-40e7-95a3-faed480b7386,b02f4683-a8aa-46d0-b13d-12d0981a4cf2,0,26501679-586c-4236-a890-97e1687dc818,,,970.1,1270.1,39.3,completed,2026-09-06T05:51:20.277475,2026-09-07T03:01:27.756769
bff1f56b-2c0a-4507-9315-c27f886d3949,676b4666-d6da-456a-9b7d-60b8eda8d5a7,0,9db88e80-6a44-4430-b307-494694355bcb,,8fba1efa-7c25-4a5b-b271-bb1ac4460664,505.8,756.7,43.7,completed,2026-09-03T16:51:20.279769,2026-09-04T05:28:03.809847
3a6b07fb-2433-440d-9973-051354b082a4,676b4666-d6da-456a-9b7d-60b8eda8d5a7,1,3fc247b8-f090-4cea-81a6-9112ffe9f796,8fba1efa-7c25-4a5b-b271-bb1ac4460664,,120.2,162.0,48.2,completed,2026-09-04T05:28:03.809847,2026-09-04T08:10:03.564176
802f4046-65e2-4053-8e1e-75054e249a16,61236dd4-e2f1-45de-9846-9a98eab2aecc,0,3fc247b8-f090-4cea-81a6-9112ffe9f796,,,422.9,796.5,39.9,completed,2026-09-08T20:51:20.282683,2026-09-09T10:07:50.102520
2f2da2c0-60b8-4512-9756-6bfdb843f3b4,1b761564-ee92-489f-8f61-9ba7655bb5e9,0,463a85e7-e033-4bec-a267-bfa7aa85640d,,,235.3,340.1,37.5,completed,2026-09-03T16:51:20.285602,2026-09-03T22:31:25.422454
dca47efc-10b5-46f2-8336-2be083446d8b,2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,0,310f7ff6-c724-4278-b409-74d1ab8bf019,,c2f4b9b4-48ee-4746-958f-6169ba532344,178.1,280.4,44.5,completed,2026-09-04T18:51:20.287249,2026-09-04T23:31:44.043073
af610934-448f-4b6e-894b-d5fefbc6a5fa,2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,1,083714ac-54b3-4d64-bc00-704dc355b5f8,c2f4b9b4-48ee-4746-958f-6169ba532344,2ddf4880-95a6-4875-857d-f1d095b7fc48,540.9,829.3,43.6,completed,2026-09-04T23:31:44.043073,2026-09-05T13:21:02.090665
a1484df6-8a4b-4a76-b471-adb98b2f6349,2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,2,b41f802e-0393-409e-935b-003cfa28c0bd,2ddf4880-95a6-4875-857d-f1d095b7fc48,faa81e93-f79d-4d3d-9240-87cdf9df3633,376.4,377.6,52.5,completed,2026-09-05T13:21:02.090665,2026-09-05T19:38:37.925489
aa8c42cf-54e2-4707-9b70-b10334beb567,2fcfe58b-49ae-4050-8e1c-4e5cb93e44b2,3,8462dc55-59d5-47f4-8209-5f47c6bf99ca,faa81e93-f79d-4d3d-9240-87cdf9df3633,,422.9,707.7,39.6,completed,2026-09-05T19:38:37.925489,2026-09-06T07:26:17.836055
c0a844c1-a56e-4f96-9a88-6025df70a67f,f10ce9bb-1830-4cee-bc2b-ac97e3c9154e,0,083714ac-54b3-4d64-bc00-704dc355b5f8,,8fba1efa-7c25-4a5b-b271-bb1ac4460664,505.8,794.3,39.0,completed,2026-09-07T17:51:20.292965,2026-09-08T07:05:39.971932
fbd38a3a-b54c-4e2a-9b5b-e22b71825338,f10ce9bb-1830-4cee-bc2b-ac97e3c9154e,1,894888f1-c248-403f-aca9-cddaac265db4,8fba1efa-7c25-4a5b-b271-bb1ac4460664,,120.2,166.6,44.2,completed,2026-09-08T07:05:39.971932,2026-09-08T09:52:13.651818
7c35c122-e154-4101-b1ff-36faf202c1af,a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,0,ade5ec49-869b-47d3-b852-1a9ceedbe841,,9e7e9588-92a7-42c9-9eef-e79c1acf67b7,207.7,275.2,43.7,completed,2026-09-05T11:51:20.295359,2026-09-05T16:26:34.673971
41b9175f-b076-4a16-a01a-32b1ed585b96,a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,1,d265c88a-1052-4bc1-b426-bc9a3e77f666,9e7e9588-92a7-42c9-9eef-e79c1acf67b7,5dbdf32d-78de-4094-b415-861af0ca99a2,540.5,714.0,49.0,completed,2026-09-05T16:26:34.673971,2026-09-06T04:20:32.782088
57e677b7-6ff8-444a-b877-bbdeb8c1baad,a1dbeb6f-c68e-4f98-83f4-f1919e111e8a,2,a2de8edd-b399-484f-8151-3a5ef1d893b0,5dbdf32d-78de-4094-b415-861af0ca99a2,,235.3,363.6,47.4,completed,2026-09-06T04:20:32.782088,2026-09-06T10:24:05.851698
8bc9de26-81c6-4c06-8d44-55255024b0df,2754b607-62ff-4ff3-9104-dbfe505cd22b,0,c787e085-877f-4d78-a2c0-2d7e54816f5c,,2ddf4880-95a6-4875-857d-f1d095b7fc48,540.9,633.2,45.6,completed,2026-09-08T02:51:20.298873,2026-09-08T13:24:34.703289
5c7933c9-9300-4a8d-bbfd-ef3cb38546b3,2754b607-62ff-4ff3-9104-dbfe505cd22b,1,eef8d72c-0ab6-40fa-a165-615edc5821f1,2ddf4880-95a6-4875-857d-f1d095b7fc48,faa81e93-f79d-4d3d-9240-87cdf9df3633,376.4,569.0,41.8,completed,2026-09-08T13:24:34.703289,2026-09-08T22:53:33.264864
168ad23d-abef-49cd-bf5a-ce837502f815,2754b607-62ff-4ff3-9104-dbfe505cd22b,2,5a546a9f-4ddf-4c19-9b83-d659726fc137,faa81e93-f79d-4d3d-9240-87cdf9df3633,288de4cd-bf1a-4a25-847c-68865d138b36,422.9,446.4,48.3,completed,2026-09-08T22:53:33.264864,2026-09-09T06:19:57.660834
7aa02893-9551-4a3b-bdee-09507e0d930e,2754b607-62ff-4ff3-9104-dbfe505cd22b,3,af78bf6c-b541-45e3-93dd-9a69ae91a9ae,288de4cd-bf1a-4a25-847c-68865d138b36,,500.0,1044.7,35.6,completed,2026-09-09T06:19:57.660834,2026-09-09T23:44:41.347834
4e1600a2-6321-40c8-8826-571be6123259,a6b23575-52eb-4a6f-bafb-25a1798c1e8e,0,1f148489-0bcb-4470-8354-42eed5c4f971,,faa81e93-f79d-4d3d-9240-87cdf9df3633,422.9,734.3,40.0,completed,2026-09-07T05:51:20.304019,2026-09-07T18:05:41.206017
042c7d32-8edc-4740-bab9-dd6fe9afe1b0,a6b23575-52eb-4a6f-bafb-25a1798c1e8e,1,0b6812d6-5270-4d50-bba5-1cd2f77ebe2e,faa81e93-f79d-4d3d-9240-87cdf9df3633,2ddf4880-95a6-4875-857d-f1d095b7fc48,376.4,499.0,47.8,completed,2026-09-07T18:05:41.206017,2026-09-08T02:24:42.929989
3255276f-e23f-475e-9b42-c6873186be99,a6b23575-52eb-4a6f-bafb-25a1798c1e8e,2,66e7f631-029c-4810-92a9-8026854edd3f,2ddf4880-95a6-4875-857d-f1d095b7fc48,c2f4b9b4-48ee-4746-958f-6169ba532344,540.9,982.2,38.8,completed,2026-09-08T02:24:42.929989,2026-09-08T18:46:52.743198
5aa2e2e3-a9cf-4e35-8563-4218f8fa326b,a6b23575-52eb-4a6f-bafb-25a1798c1e8e,3,69b345b3-ec55-408a-978c-9b0062c84f4a,c2f4b9b4-48ee-4746-958f-6169ba532344,,178.1,382.4,26.2,completed,2026-09-08T18:46:52.743198,2026-09-09T01:09:14.018958
3d93fe1b-e956-4cfd-9f78-5bb5c22bc4cd,3e06902c-652c-415e-93f3-31c0f7c5b45d,0,3fc6f138-6045-4882-8a16-2692f69d4228,,,244.4,317.7,43.0,completed,2026-09-05T14:51:20.309138,2026-09-05T20:09:02.376421
735b4eb9-bf68-426d-a4d1-990fde97e749,7ba4808c-2c2a-4d45-8b20-3d65afd7e3ae,0,6be0475c-e19c-4d4f-aced-f1b613d87548,,,120.2,150.4,52.4,completed,2026-09-03T15:51:20.310567,2026-09-03T18:21:42.494241
df74e5f1-6303-477e-8a7e-e91be4f1ac05,b199014e-c8c0-41f3-9bb6-e99da881c365,0,463a85e7-e033-4bec-a267-bfa7aa85640d,,,293.4,420.7,36.3,completed,2026-09-08T15:51:20.311649,2026-09-08T22:52:03.752484
6e2cf212-815b-4016-b4b1-ce7faf38c840,49fc4b6e-ff31-4d4e-a9a8-f633d9b3f2fd,0,26501679-586c-4236-a890-97e1687dc818,,,120.2,157.2,34.7,completed,2026-09-08T21:51:20.313020,2026-09-09T00:28:30.587355
92184563-6ecd-4ad3-ab25-f3289bd13452,f3804879-7198-4371-adfc-0b68958734fd,0,2d28751d-70ba-4487-82d5-095cea62b22f,,,422.9,765.4,41.5,completed,2026-09-03T16:51:20.314358,2026-09-04T05:36:46.761781
0fcf4f59-7d69-48a9-9f74-a15486fd9970,62704371-123b-4455-a471-0cb9e1bc4b1a,0,4c8a509f-04a9-4a9e-95f2-50c885ca0979,,,540.9,882.5,40.0,completed,2026-09-05T05:51:20.316292,2026-09-05T20:33:48.472668
97078865-9d12-492e-a3e6-97bd378cb043,900c772b-766b-42ef-b0c8-129c1ccf10d7,0,3fc247b8-f090-4cea-81a6-9112ffe9f796,,,970.1,1661.1,45.8,completed,2026-09-06T23:51:20.318584,2026-09-08T03:32:24.970892
29e946e6-b647-4c09-9443-20b8bfc92f57,60174973-cba4-495e-810f-79e378dfb3fe,0,90ef76ca-622f-43be-be2f-27f0a925941a,,,75.3,117.5,32.4,completed,2026-09-03T21:51:20.322324,2026-09-03T23:48:50.056156
07547b3a-f95d-4e3e-8806-8b93c4025170,248ec5ba-37b2-462b-af45-39005d0461e6,0,66e7f631-029c-4810-92a9-8026854edd3f,,,688.0,1229.1,41.8,completed,2026-09-08T05:51:20.324232,2026-09-09T02:20:27.818838
b33b7221-6cd6-4b05-9cd4-7ecb0dd1deed,886d0ab5-4a9b-4950-a585-d8d68e0be93c,0,6d65ee0b-0d87-4816-9b43-1e74af2b76bd,,c2f4b9b4-48ee-4746-958f-6169ba532344,178.1,338.1,31.7,completed,2026-09-02T22:51:20.326875,2026-09-03T04:29:24.908883
55c2bd6c-d70e-4730-8e28-22b70d7d141c,886d0ab5-4a9b-4950-a585-d8d68e0be93c,1,f0496c8a-1f5c-4cdb-b570-7a6925cd94f7,c2f4b9b4-48ee-4746-958f-6169ba532344,,540.9,642.0,42.2,completed,2026-09-03T04:29:24.908883,2026-09-03T15:11:24.154496
ab337f11-92f2-402b-ba0c-083f947ca734,87eb2522-e4f9-4f44-8c1b-b461a09ffc74,0,8b1e91b6-790d-4773-851a-de018a249cec,,,540.9,612.5,53.2,completed,2026-09-03T13:51:20.329862,2026-09-04T00:03:48.470790
f536ca3f-a1ad-4b7c-906f-4bef445f5478,09f39325-934b-471f-b59e-2bd4273c59b0,0,2d28751d-70ba-4487-82d5-095cea62b22f,,c2f4b9b4-48ee-4746-958f-6169ba532344,244.4,358.8,36.5,completed,2026-09-07T08:51:20.331793,2026-09-07T14:50:10.629480
aecfa63c-c5c7-4dbb-991a-e56cfa89afef,09f39325-934b-471f-b59e-2bd4273c59b0,1,6be0475c-e19c-4d4f-aced-f1b613d87548,c2f4b9b4-48ee-4746-958f-6169ba532344,,178.1,257.7,50.3,completed,2026-09-07T14:50:10.629480,2026-09-07T19:07:55.086840
53f9b201-9ef3-45ce-9fc3-d474d691aae4,3f1b6d61-91c8-4c09-b64b-174151917066,0,f90f6baa-4c59-416d-9cdd-708265156686,,,970.1,1480.9,45.3,completed,2026-09-03T23:51:20.333827,2026-09-05T00:32:15.455714
d34c80d0-5284-4bcc-a1a1-8c2a57dd3696,73f667d6-dfba-4207-8471-1471e0fa3f2d,0,aecd6e72-018b-448f-a8dd-3e84d11fdeea,,,505.8,819.4,36.9,completed,2026-09-05T05:51:20.336609,2026-09-05T19:30:46.947015
01c6dce9-0293-43ba-a86d-bcc5a3c349f1,abcc1269-7d22-4322-9c5e-ad8c3e27f61a,0,f90f6baa-4c59-416d-9cdd-708265156686,,,688.0,940.9,40.3,completed,2026-09-03T02:51:20.339733,2026-09-03T18:32:12.861273
4be4dabd-ff95-45bb-b90e-aa00835ef001,5186df5f-6ed8-4587-a5e8-730e82c8e9ed,0,6478d1df-2c1f-4f3c-aa1e-03fde769c1f7,,,505.8,753.3,32.3,completed,2026-09-08T17:51:20.341717,2026-09-09T06:24:39.415111
d21aa981-6697-4bbc-89e7-cf4b7f788c3d,89cc8959-51d0-45b5-ac54-8ff1227f2b4c,0,69b345b3-ec55-408a-978c-9b0062c84f4a,,a30de39d-9e98-4258-b754-758c8da83902,90.0,144.5,36.1,completed,2026-09-06T20:51:20.343575,2026-09-06T23:15:51.051674
7c46bbf3-0c74-41b7-8145-5e913d9ab05f,89cc8959-51d0-45b5-ac54-8ff1227f2b4c,1,69dc6351-3e90-4155-9ccd-371b5c0cdbf3,a30de39d-9e98-4258-b754-758c8da83902,,285.8,540.5,28.0,completed,2026-09-06T23:15:51.051674,2026-09-07T08:16:22.760864
f584c020-87cf-417d-aa7b-f938e9f50627,56d7b728-fe0a-464b-bce4-7af2983d5b6d,0,b05b01d0-a319-4a48-8fe3-e2a08529ea69,,faa81e93-f79d-4d3d-9240-87cdf9df3633,422.9,575.8,49.9,completed,2026-09-08T19:51:20.346059,2026-09-09T05:27:08.622589
44084738-105d-4267-9502-e335427cb14a,56d7b728-fe0a-464b-bce4-7af2983d5b6d,1,0eefecd2-5b8c-4f61-ae34-838b16b53659,faa81e93-f79d-4d3d-9240-87cdf9df3633,2ddf4880-95a6-4875-857d-f1d095b7fc48,376.4,436.5,41.0,completed,2026-09-09T05:27:08.622589,2026-09-09T12:43:41.015391
4e8012f7-47ec-4675-84fa-0f433071f7aa,56d7b728-fe0a-464b-bce4-7af2983d5b6d,2,90ef76ca-622f-43be-be2f-27f0a925941a,2ddf4880-95a6-4875-857d-f1d095b7fc48,,540.9,554.0,49.2,completed,2026-09-09T12:43:41.015391,2026-09-09T21:57:39.518223
f41ecc2b-c9c2-46cd-89c6-8a312e228d94,88d0d480-b78b-45a8-9812-f7d8d8a471b7,0,0f6665ac-5ddd-43a7-a9a3-d15d46cfbc97,,8fba1efa-7c25-4a5b-b271-bb1ac4460664,120.2,175.1,37.7,completed,2026-09-07T19:51:20.349514,2026-09-07T22:46:25.711424
9f8aa35d-b682-49df-8ff5-9d4efe12f566,88d0d480-b78b-45a8-9812-f7d8d8a471b7,1,b41f802e-0393-409e-935b-003cfa28c0bd,8fba1efa-7c25-4a5b-b271-bb1ac4460664,,505.8,691.0,36.3,completed,2026-09-07T22:46:25.711424,2026-09-08T10:17:28.332154
3697d382-e5c2-4365-9620-a9ead84125e8,9cdb30cb-3e2a-4721-992d-b7fec2ebad6f,0,5a546a9f-4ddf-4c19-9b83-d659726fc137,,,540.9,644.0,50.3,completed,2026-09-03T02:51:20.366243,2026-09-03T13:35:23.334480
41f016cc-3af4-4b32-8541-66fbd96461ce,afee2a8a-2d5d-4868-8ea3-71efe17b508d,0,1f148489-0bcb-4470-8354-42eed5c4f971,,8fba1efa-7c25-4a5b-b271-bb1ac4460664,120.2,211.4,37.0,completed,2026-09-06T01:51:20.367913,2026-09-06T05:22:45.384480
e5d247c9-fe1d-4945-a22c-4da054c4bd9d,afee2a8a-2d5d-4868-8ea3-71efe17b508d,1,eda803f0-7286-45ff-8f75-84584956b46f,8fba1efa-7c25-4a5b-b271-bb1ac4460664,,505.8,623.7,49.5,completed,2026-09-06T05:22:45.384480,2026-09-06T15:46:26.074581
d376235c-cec1-4b98-944d-63b78ffd0b96,6adb0396-5766-41ab-b773-7ed29da4883b,0,310f7ff6-c724-4278-b409-74d1ab8bf019,,,540.5,1038.7,33.8,completed,2026-09-07T21:51:20.370336,2026-09-08T15:10:02.064765
8a376b82-9003-4baf-a543-20c0cf3649f2,73e8644d-5dea-4c72-a4c9-9bccc400ac1d,0,083442ef-2844-4bf4-90c7-0a4c51e16ed0,,c2f4b9b4-48ee-4746-958f-6169ba532344,178.1,249.7,41.9,completed,2026-09-03T10:51:20.372735,2026-09-03T15:01:00.950394
acac145b-04e0-4a7c-94ca-f952c8e2e859,73e8644d-5dea-4c72-a4c9-9bccc400ac1d,1,fc6966be-098b-43a6-a653-1fa3b599e23e,c2f4b9b4-48ee-4746-958f-6169ba532344,,244.4,372.8,40.7,completed,2026-09-03T15:01:00.950394,2026-09-03T21:13:47.372641
c27c3028-aaa0-4f8e-9e1d-26495fbcc833,0e9acd40-cede-4143-b669-d922755831ed,0,6478d1df-2c1f-4f3c-aa1e-03fde769c1f7,,,293.4,342.9,40.9,completed,2026-09-07T16:51:20.374721,2026-09-07T22:34:13.543053
81f37b59-050f-49db-b26e-0edd91a6b298,07b6caa5-d8ad-4a11-a54f-d2bc275d99fa,0,0f6665ac-5ddd-43a7-a9a3-d15d46cfbc97,,c2f4b9b4-48ee-4746-958f-6169ba532344,178.1,195.2,50.3,completed,2026-09-07T00:51:20.376187,2026-09-07T04:06:31.562251
2143342e-8388-4eec-821d-552a21e93160,07b6caa5-d8ad-4a11-a54f-d2bc275d99fa,1,00d3503e-ffe5-4e26-84be-9007a8a81e4c,c2f4b9b4-48ee-4746-958f-6169ba532344,9708822b-62d4-4ac2-ae57-f36abd36b0cb,244.4,350.2,35.9,completed,2026-09-07T04:06:31.562251,2026-09-07T09:56:45.463438
bc553b52-a109-432c-b950-c1a6aefba079,07b6caa5-d8ad-4a11-a54f-d2bc275d99fa,2,894888f1-c248-403f-aca9-cddaac265db4,9708822b-62d4-4ac2-ae57-f36abd36b0cb,,75.3,101.4,42.9,completed,2026-09-07T09:56:45.463438,2026-09-07T11:38:09.634505
2e28fecc-55ef-4605-bb8e-7222e963993a,491866c3-c25d-4872-9992-cb33d77a82cb,0,66e7f631-029c-4810-92a9-8026854edd3f,,a30de39d-9e98-4258-b754-758c8da83902,90.0,99.9,50.0,completed,2026-09-06T09:51:20.379132,2026-09-06T11:31:11.910732
41dfe48e-cd5e-486e-a1a2-76995aadf9a8,491866c3-c25d-4872-9992-cb33d77a82cb,1,a2de8edd-b399-484f-8151-3a5ef1d893b0,a30de39d-9e98-4258-b754-758c8da83902,69cc852b-0428-432f-9fd5-25c49064f57d,285.8,599.6,33.0,completed,2026-09-06T11:31:11.910732,2026-09-06T21:30:47.588520
328d41e8-a077-4228-946d-1719004fea54,491866c3-c25d-4872-9992-cb33d77a82cb,2,69b345b3-ec55-408a-978c-9b0062c84f4a,69cc852b-0428-432f-9fd5-25c49064f57d,,235.3,249.9,52.5,completed,2026-09-06T21:30:47.588520,2026-09-07T01:40:42.967059
5ed0ae31-1c8c-4665-a3b4-133103f65862,7910ed7a-8a5f-4399-a824-c68da863bda0,0,c787e085-877f-4d78-a2c0-2d7e54816f5c,,5dbdf32d-78de-4094-b415-861af0ca99a2,235.3,418.9,38.8,completed,2026-09-08T07:51:20.382134,2026-09-08T14:50:12.787922
013d6d05-f989-47ff-8654-bd6f7969563f,7910ed7a-8a5f-4399-a824-c68da863bda0,1,3fc247b8-f090-4cea-81a6-9112ffe9f796,5dbdf32d-78de-4094-b415-861af0ca99a2,,540.5,721.0,41.3,completed,2026-09-08T14:50:12.787922,2026-09-09T02:51:14.441082
b5af42dd-5b92-449c-98c8-5662b4f472c2,b30c9bc2-273b-4744-84bb-d4b02fd46fc1,0,69b345b3-ec55-408a-978c-9b0062c84f4a,,,244.4,338.8,42.1,completed,2026-09-07T01:51:20.385391,2026-09-07T07:30:09.896942
9d8d508b-2b61-4fcc-8aee-f09b8e065b9d,0b6b10f0-9b87-4ea4-b560-39b3ac235074,0,0f6665ac-5ddd-43a7-a9a3-d15d46cfbc97,,,207.7,236.5,42.9,completed,2026-09-06T18:51:20.387044,2026-09-06T22:47:52.937435
3670c859-bcd4-4597-9552-4671a250ec0f,a63d1002-b7a1-4d5a-b39b-469de5fe3b21,0,0790fa20-df4f-43aa-b491-56eb44a3e0b6,,faa81e93-f79d-4d3d-9240-87cdf9df3633,688.0,1296.2,35.1,completed,2026-09-07T00:51:20.388417,2026-09-07T22:27:31.694620
c3e619bd-56b6-4463-8a1e-e61a6157129d,a63d1002-b7a1-4d5a-b39b-469de5fe3b21,1,c787e085-877f-4d78-a2c0-2d7e54816f5c,faa81e93-f79d-4d3d-9240-87cdf9df3633,,970.1,1243.6,47.1,completed,2026-09-07T22:27:31.694620,2026-09-08T19:11:07.685985
650e9a16-6b00-49f0-b62a-07c157b28f4a,0cbfdfaf-6e02-487c-9b32-c164fd6fb0c5,0,7c1ae16d-496a-4d0f-b401-8ae3e76b86ab,,,970.1,1214.5,45.0,completed,2026-09-07T07:51:20.393622,2026-09-08T04:05:49.949477
181090ef-ca10-468f-836e-beb35abf2a9d,0b9afde7-67a5-4d22-a4f3-871b35f2eeb3,0,0b6812d6-5270-4d50-bba5-1cd2f77ebe2e,,,75.3,95.9,40.5,completed,2026-09-05T22:51:20.396113,2026-09-06T00:27:12.269531
d339265d-f7d1-40b1-b7a6-16207775bcdd,8b7c7b2c-93f8-45a5-a11f-ce138aacc895,0,f9bb1bc7-b852-4cb0-9053-42f9f3eea8bc,,,120.2,183.6,33.2,completed,2026-09-04T00:51:20.397274,2026-09-04T03:54:54.301481
f2b8708b-c144-4d63-81bb-52df678318b4,1dd5e4bb-f793-4e64-bf68-8290aaa739fd,0,2d28751d-70ba-4487-82d5-095cea62b22f,,8fba1efa-7c25-4a5b-b271-bb1ac4460664,505.8,973.2,30.1,completed,2026-09-03T19:51:20.398687,2026-09-04T12:04:34.988309
07e21b84-b85f-4422-a918-f0751554bb15,1dd5e4bb-f793-4e64-bf68-8290aaa739fd,1,0eefecd2-5b8c-4f61-ae34-838b16b53659,8fba1efa-7c25-4a5b-b271-bb1ac4460664,,120.2,208.3,40.7,completed,2026-09-04T12:04:34.988309,2026-09-04T15:32:50.882346
